gene_symbol	transcript	entrez_id	chr	start	stop	mean_coverage	completeness
AQP5	NM_001651.3	362	12	50355269	50356173	112.153	72.0133
KRT81	NM_002281.3	3887	12	52682989	52683069	0.425	0.0
KRT81	NM_002281.3	3887	12	52683852	52684080	0	0.0
KRT81	NM_002281.3	3887	12	52684871	52685309	152.553	83.5616
LPAR6	NM_005767.5	10161	13	48991293	48991466	0	0.0
SOS2	NM_006939.2	6655	14	50697905	50698109	109.941	83.3333
JAG2	NM_002226.4	3714	14	105634682	105635171	18.411	26.9939
MYO5A	NM_000259.3	4644	15	52820967	52821257	71.4	75.1724
CACNA1H	NM_021098.2	8912	16	1203231	1203480	10.5181	16.4659
CORO1A	NM_007074.3	11151	16	30200171	30200296	2.104	0.0
CDH3	NM_001793.4	1001	16	68678141	68679337	82.949	43.0602
GP1BA	NM_000173.5	2811	17	4835884	4837869	232.015	99.1436
WRAP53	ENST00000316024.5	ENSG00000141499	17	7589609	7592407	151.067	74.446
NF1	NM_001042492.2	4763	17	29421935	29422397	130.452	99.1342
KRT9	NM_000226.3	3857	17	39727593	39728320	115.717	91.0592
UNC13D	NM_199242.2	201294	17	73840292	73840808	179.143	99.6124
APCDD1	NM_153000.4	147495	18	10454615	10455046	65.0232	69.3736
STK11	NM_000455.4	6794	19	1205788	1207212	221.918	84.9017
MAP2K2	NM_030662.3	5605	19	4123771	4124136	97.5644	99.4521
PSENEN	ENST00000587708.2	ENSG00000205155	19	36236005	36236611	88.1287	57.4257
RYR1	NM_000540.2	6261	19	39055589	39056421	163.851	84.7356
FERMT1	NM_017671.4	55612	20	6103411	6104201	120.441	68.6076
KCNQ2	NM_172107.2	3785	20	62103511	62104003	147.732	86.9919
SOX18	NM_018419.2	54345	20	62680502	62680989	44.1745	76.1807
KREMEN1	NM_001039570.2	83999	22	29469056	29469225	40.9823	63.3136
DMD	NM_000109.4	2928	X	32489312	32489322	0	0.0
DDX3X	NM_001356.3	1654	X	41192641	41193560	116.01	56.2568
WAS	NM_000377.2	7454	X	48547039	48547465	73.2253	95.5399
MTMR1	NM_003828.2	8776	X	149861859	149862159	41.4233	61.0
IKBKG	NM_001099856.2	8517	X	153784370	153784601	2.4026	0.0
IKBKG	NM_001099856.2	8517	X	153786737	153786875	0	0.0
IKBKG	NM_001099856.2	8517	X	153788612	153788784	3.26744	0.0
IKBKG	NM_001099856.2	8517	X	153789893	153790009	0	0.0
IKBKG	NM_001099856.2	8517	X	153791015	153791178	0	0.0
IKBKG	NM_001099856.2	8517	X	153791764	153791926	0	0.0
IKBKG	NM_001099856.2	8517	X	153792524	153792687	38.5644	54.6012
